tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,daylight_hours,preciptype,uvindex,severerisk,conditions,description
29.0,16.3,22.6,28.0,16.3,22.5,14.6,64.3,0.0,0.0,0.0,27.7,9.5,114.5,1015.1,41.1,5.1,102.4,8.8,0.93,11.168611111111112,0,5,0,2,27
30.1,18.0,23.6,29.7,18.0,23.6,16.1,66.0,0.0,0.0,0.0,29.2,12.8,91.8,1015.2,49.3,4.5,149.2,13.0,0.97,11.176388888888889,0,8,0,2,27
29.8,18.1,23.7,29.2,18.1,23.6,15.6,64.4,0.0,0.0,0.0,26.6,7.7,114.5,1014.8,42.3,4.9,157.8,13.5,0.0,11.184444444444445,0,7,0,2,27
29.9,18.0,23.8,29.5,18.0,23.7,16.1,66.0,0.0,0.0,0.0,28.1,11.2,109.5,1014.6,3.0,4.9,168.6,14.4,0.03,11.192777777777778,0,7,0,0,3
28.9,18.0,23.0,28.9,18.0,23.1,16.4,69.1,0.0,0.0,0.0,27.0,9.4,107.5,1013.6,13.0,4.1,161.4,13.9,0.07,11.20138888888889,0,7,0,0,3
29.3,18.0,23.1,29.0,18.0,23.1,16.6,69.8,0.0,0.0,0.0,22.3,9.4,113.3,1012.8,28.5,4.2,150.2,12.9,0.1,11.210277777777778,0,7,0,2,27
28.4,17.2,23.0,27.9,17.2,23.0,16.0,67.7,0.0,0.0,0.0,30.6,13.1,107.1,1014.0,18.9,4.9,165.1,14.2,0.13,11.219444444444445,0,7,0,0,3
28.3,18.0,22.9,29.2,18.0,23.0,16.4,68.4,0.0,0.0,0.0,29.9,9.4,125.7,1015.3,20.2,4.7,157.8,13.4,0.16,11.229166666666666,0,7,0,2,27
29.5,17.0,22.8,28.3,17.0,22.7,14.9,65.1,0.0,0.0,0.0,24.5,11.3,121.1,1014.8,13.0,4.9,173.1,15.0,0.19,11.238888888888889,0,8,0,0,3
31.1,15.3,23.0,29.9,15.3,22.7,13.9,62.0,0.0,0.0,0.0,24.8,9.2,122.1,1014.9,4.0,5.2,173.5,14.9,0.23,11.248888888888889,0,8,0,0,3
31.0,15.3,23.5,30.7,15.3,23.5,15.4,63.2,0.0,0.0,0.0,19.4,7.6,167.3,1014.1,6.1,5.2,165.8,14.2,0.25,11.259444444444444,0,7,0,0,3
30.0,17.3,24.1,30.0,17.3,24.2,17.4,68.5,0.0,0.0,0.0,22.7,7.9,106.2,1014.4,28.3,5.2,166.4,14.5,0.29,11.27,0,8,0,2,27
29.1,17.2,23.7,29.4,17.2,23.9,17.3,69.5,0.0,0.0,0.0,21.2,9.4,118.1,1014.2,22.0,5.4,158.3,13.7,0.32,11.280833333333334,0,7,0,2,27
30.6,18.0,24.1,30.7,18.0,24.2,17.3,68.5,0.0,0.0,0.0,21.2,9.4,138.7,1014.7,7.8,4.9,169.8,14.7,0.35,11.291944444444445,0,7,0,0,3
32.0,16.2,24.3,31.4,16.2,24.3,16.2,64.1,0.0,0.0,0.0,24.1,9.2,141.7,1015.1,4.2,5.3,174.1,15.1,0.39,11.303055555555556,0,8,0,0,3
31.5,17.2,24.5,31.0,17.2,24.4,16.6,64.9,0.0,0.0,0.0,24.5,11.0,147.0,1014.5,8.5,5.3,175.0,15.1,0.42,11.315,0,8,0,0,3
29.9,17.2,23.8,30.0,17.2,23.9,17.4,70.2,0.0,0.0,0.0,26.3,14.4,130.0,1014.7,20.2,5.3,165.8,14.4,0.45,11.32638888888889,0,7,0,2,2
29.0,18.0,23.2,29.2,18.0,23.3,17.3,71.8,0.0,0.0,0.0,28.1,12.8,128.3,1015.6,18.7,4.4,162.4,14.0,0.48,11.338611111111112,0,7,0,0,3
30.0,18.0,23.6,29.1,18.0,23.5,16.0,66.0,0.0,0.0,0.0,28.8,9.4,137.7,1015.9,17.9,4.9,158.7,13.8,0.5,11.350833333333334,0,7,0,0,3
29.5,17.2,23.6,28.7,17.2,23.5,16.8,69.4,0.0,0.0,0.0,23.0,9.4,130.5,1015.3,21.3,4.9,147.3,12.9,0.55,11.363333333333333,0,7,0,2,27
28.5,18.9,23.0,29.3,18.9,23.1,18.0,74.9,0.0,0.0,0.0,27.4,9.5,100.5,1016.3,34.4,4.3,139.7,12.2,0.59,11.375833333333333,0,7,0,2,27
27.0,19.0,22.6,27.4,19.0,22.6,17.3,73.8,0.0,0.0,0.0,29.5,10.1,98.3,1018.2,46.6,4.0,136.3,11.9,0.62,11.38888888888889,0,7,0,2,27
28.0,15.3,21.6,27.4,15.3,21.5,14.2,66.7,0.0,0.0,0.0,27.0,12.6,105.4,1018.6,30.4,4.5,176.7,15.2,0.66,11.401944444444444,0,8,0,2,27
28.7,15.5,22.0,27.2,15.5,21.8,11.8,58.0,0.0,0.0,0.0,29.5,11.0,104.5,1018.0,15.0,5.1,180.3,15.7,0.7,11.415,0,8,0,0,3
28.3,15.2,21.9,27.1,15.2,21.7,10.9,52.9,0.0,0.0,0.0,30.2,14.2,118.5,1017.3,5.9,5.4,179.9,15.5,0.75,11.428333333333333,0,8,0,0,3
28.3,13.3,21.6,27.3,13.3,21.4,11.2,55.7,0.0,0.0,0.0,23.0,11.0,116.3,1016.0,2.0,5.4,175.5,15.1,0.77,11.441944444444445,0,8,0,0,3
29.4,15.3,22.7,28.3,15.3,22.4,12.4,55.6,0.0,0.0,0.0,23.4,9.7,107.8,1015.0,4.3,5.7,170.8,14.6,0.8,11.455555555555556,0,7,0,0,3
28.2,15.3,22.0,27.5,15.3,21.9,12.4,56.7,0.0,0.0,0.0,27.7,12.6,67.8,1016.6,4.9,5.5,163.0,14.1,0.84,11.469444444444445,0,7,0,0,3
28.7,15.6,21.5,27.6,15.6,21.4,10.8,54.1,0.0,0.0,0.0,29.2,9.4,84.9,1017.5,1.6,5.7,176.7,15.3,0.87,11.483333333333333,0,8,0,0,3
31.0,15.1,22.2,29.3,15.1,21.9,11.0,52.8,0.0,0.0,0.0,21.2,9.2,93.7,1016.2,3.9,5.6,165.3,14.4,0.91,11.497777777777777,0,7,0,0,3
32.1,13.4,22.4,30.6,13.4,22.1,12.2,57.8,0.0,0.0,0.0,17.6,9.2,109.8,1014.1,0.1,5.3,184.1,15.9,0.95,11.511666666666667,0,8,0,0,3
28.1,14.3,22.3,27.8,14.3,22.2,13.7,61.7,0.0,0.0,0.0,25.9,11.5,113.0,1012.7,24.3,5.5,166.0,14.3,0.98,11.526388888888889,0,7,0,2,27
29.0,15.0,22.5,28.0,15.0,22.3,12.8,59.3,0.0,0.0,0.0,26.6,11.2,135.8,1013.7,31.0,5.4,173.7,14.9,0.0,11.540833333333333,0,8,0,2,6
29.1,15.0,22.7,28.1,15.0,22.5,13.5,60.5,0.0,0.0,0.0,24.5,15.9,125.8,1015.3,8.4,5.5,172.2,15.0,0.05,11.555555555555555,0,8,0,0,3
30.2,15.4,23.5,28.7,15.4,23.2,12.8,55.5,0.0,0.0,0.0,24.5,9.4,115.6,1015.6,2.3,5.5,171.6,14.9,0.08,11.570277777777777,0,8,0,0,3
31.1,18.0,24.6,29.8,18.0,24.2,12.2,48.7,0.0,0.0,0.0,23.4,12.4,136.4,1014.3,5.2,5.6,165.0,14.2,0.11,11.585,0,7,0,0,3
31.5,19.0,24.8,30.3,19.0,24.5,13.0,50.3,0.0,0.0,0.0,32.8,10.6,136.1,1013.5,7.8,5.9,165.0,14.2,0.14,11.600277777777778,0,7,0,0,3
30.1,17.4,24.1,28.9,17.4,23.8,12.2,49.4,0.0,0.0,0.0,33.8,11.2,115.5,1013.6,5.4,5.7,162.7,14.0,0.18,11.615277777777777,0,7,0,0,3
28.0,18.0,23.0,28.0,18.0,23.0,14.3,58.9,0.0,0.0,0.0,40.3,16.6,114.2,1015.3,23.7,5.5,155.0,13.3,0.21,11.630555555555556,0,7,0,2,2
26.1,18.0,20.8,26.1,18.0,20.8,17.1,81.1,1.0,100.0,4.17,30.2,14.8,84.1,1017.4,72.6,4.3,138.8,12.1,0.24,11.64611111111111,1,8,0,4,21
26.1,18.0,22.2,26.1,18.0,22.2,16.4,71.7,0.1,100.0,4.17,31.7,13.1,83.7,1015.8,63.3,4.7,184.1,15.9,0.25,11.661111111111111,1,9,0,4,21
27.1,18.0,22.7,27.6,18.0,22.7,16.8,71.5,0.0,0.0,0.0,38.9,14.2,99.3,1015.9,56.4,5.3,191.7,16.7,0.3,11.676666666666666,0,9,0,2,27
28.9,17.2,23.9,29.2,17.2,24.0,17.5,69.5,0.1,100.0,4.17,23.4,9.4,102.2,1016.8,40.3,5.7,188.4,16.4,0.34,11.6925,1,9,0,4,22
31.1,17.3,24.5,29.8,17.3,24.2,15.0,60.0,0.0,0.0,0.0,22.0,7.6,118.4,1015.3,15.4,5.5,208.1,18.1,0.37,11.708055555555555,0,9,0,0,3
32.1,15.5,24.1,30.7,15.5,23.7,13.0,54.5,0.0,0.0,0.0,23.8,9.4,114.6,1014.1,7.6,5.6,214.2,18.6,0.4,11.723611111111111,0,9,0,0,3
32.8,16.0,24.5,31.1,16.0,24.0,12.2,52.1,0.0,0.0,0.0,22.3,12.2,59.1,1013.7,0.1,5.6,211.2,18.1,0.43,11.739444444444445,0,9,0,0,3
35.1,16.0,25.2,33.1,16.0,24.6,12.3,50.4,0.0,0.0,0.0,22.0,9.2,216.5,1012.0,3.4,6.0,208.1,17.9,0.47,11.755555555555556,0,9,0,0,3
33.6,16.0,25.4,31.7,16.0,24.8,11.3,44.9,0.0,0.0,0.0,21.6,9.4,273.6,1011.4,12.3,5.6,202.7,17.7,0.5,11.77138888888889,0,9,0,0,3
35.1,16.0,25.6,33.1,16.0,25.0,11.3,45.9,0.0,0.0,0.0,19.1,9.4,107.0,1012.0,30.4,5.8,179.6,15.4,0.53,11.787222222222223,0,9,0,2,27
35.1,16.0,25.9,33.4,16.0,25.4,12.5,47.4,0.0,0.0,0.0,24.1,12.4,185.3,1014.8,69.5,5.4,166.6,14.3,0.57,11.803333333333333,0,8,0,2,27
34.0,17.0,25.9,32.9,17.0,25.5,14.8,55.4,0.0,0.0,0.0,24.5,10.8,79.4,1015.4,49.7,5.7,194.2,16.9,0.6,11.819444444444445,0,8,0,2,27
34.5,17.0,26.1,32.8,17.0,25.6,13.6,51.3,0.0,0.0,0.0,29.9,12.4,87.3,1014.6,17.3,5.6,205.7,17.7,0.64,11.835833333333333,0,9,0,0,3
34.3,17.5,26.4,33.3,17.5,25.9,12.4,44.8,0.0,0.0,0.0,26.3,11.2,111.4,1015.0,0.1,5.9,207.2,18.0,0.67,11.851944444444445,0,9,0,0,3
35.7,18.7,27.0,33.5,18.7,26.2,9.7,37.2,0.0,0.0,0.0,24.5,9.4,140.1,1015.5,1.7,6.0,223.6,19.3,0.71,11.868055555555555,0,9,0,0,3
36.5,18.5,27.1,34.9,18.5,26.4,10.7,38.6,0.0,0.0,0.0,23.8,11.0,210.2,1015.2,2.7,6.1,209.7,18.1,0.75,11.884166666666667,0,9,0,0,3
36.0,18.5,27.6,34.2,18.5,26.8,11.7,41.5,0.0,0.0,0.0,23.8,9.4,110.6,1014.3,2.7,6.0,202.1,17.4,0.78,11.900555555555556,0,9,0,0,3
34.1,19.4,27.3,32.7,19.4,26.8,15.1,52.7,0.0,0.0,0.0,34.9,11.0,128.1,1014.8,3.1,6.5,195.5,16.9,0.82,11.916944444444445,0,8,0,0,3
34.1,19.0,26.4,32.7,19.0,26.1,16.3,59.6,0.0,0.0,0.0,32.8,7.7,122.9,1015.4,0.2,5.9,194.8,16.9,0.85,11.933333333333334,0,8,0,0,3
35.0,20.0,26.7,33.7,20.0,26.5,16.2,58.3,0.0,0.0,0.0,29.5,11.2,127.6,1015.2,6.4,6.3,188.1,16.4,0.89,11.949722222222222,0,8,0,0,3
35.9,18.4,27.0,33.9,18.4,26.4,13.7,50.4,0.0,0.0,0.0,36.4,9.2,133.8,1015.0,8.3,6.4,190.3,16.4,0.92,11.966111111111111,0,8,0,0,3
34.8,20.2,27.0,32.8,20.2,26.5,14.6,53.3,0.0,0.0,0.0,34.6,13.8,118.3,1016.1,2.7,6.8,184.0,15.9,0.96,11.9825,0,8,0,0,3
32.1,14.3,25.2,30.1,14.3,24.4,8.6,40.0,0.0,0.0,0.0,31.3,9.5,101.6,1016.5,0.2,6.7,192.1,16.6,0.0,11.998888888888889,0,8,0,0,3
33.5,18.0,26.5,32.1,18.0,25.8,10.8,41.7,0.0,0.0,0.0,31.7,11.2,122.7,1014.5,0.2,6.5,191.4,16.5,0.03,12.015277777777778,0,8,0,0,3
34.5,18.5,27.1,33.0,18.5,26.4,11.3,39.8,0.0,0.0,0.0,28.8,10.8,121.9,1013.8,3.4,6.5,176.5,15.2,0.06,12.031944444444445,0,8,0,0,3
35.1,19.4,27.7,33.6,19.4,27.2,13.8,46.4,0.0,0.0,0.0,27.7,10.6,119.2,1013.4,1.7,6.3,162.4,13.9,0.09,12.04861111111111,0,7,0,0,3
35.2,19.0,27.9,35.5,19.0,27.7,15.2,50.0,0.0,0.0,0.0,25.2,11.2,118.2,1012.1,25.5,5.9,157.8,13.6,0.13,12.065,0,7,0,2,27
35.8,20.0,27.7,34.5,20.0,27.5,16.1,54.1,0.0,0.0,0.0,26.3,10.6,132.8,1012.7,24.2,6.2,162.5,14.0,0.16,12.081666666666667,0,7,0,2,27
33.2,20.0,26.9,31.6,20.0,26.4,12.8,45.1,0.0,0.0,0.0,29.5,9.4,112.6,1012.9,13.2,6.6,153.3,13.4,0.19,12.098055555555556,0,7,0,0,3
32.8,21.0,26.7,32.0,21.0,26.3,14.6,50.7,0.0,0.0,0.0,27.7,13.1,96.8,1011.8,14.2,6.5,165.6,14.5,0.22,12.114444444444445,0,7,0,0,3
34.0,21.0,27.0,32.9,21.0,26.7,13.9,46.1,0.0,0.0,0.0,25.9,11.0,83.4,1012.0,3.9,6.6,170.4,14.8,0.25,12.13111111111111,0,7,0,0,3
34.6,20.0,27.6,34.6,20.0,27.8,16.4,52.7,0.0,0.0,0.0,26.6,12.4,97.5,1013.2,33.0,5.4,128.5,10.8,0.29,12.1475,0,6,0,2,2
33.9,23.1,28.3,32.7,23.1,28.2,15.9,48.7,0.0,0.0,0.0,31.0,16.2,77.1,1014.6,24.6,5.9,163.8,14.1,0.32,12.16388888888889,0,7,0,2,27
34.5,24.0,28.5,33.7,24.0,28.5,14.7,44.1,0.0,0.0,0.0,28.4,12.6,82.7,1014.4,25.6,5.8,187.8,16.2,0.35,12.180555555555555,0,7,0,2,27
36.0,22.3,29.0,35.1,22.3,28.5,14.8,46.8,0.0,0.0,0.0,30.2,12.2,65.9,1013.1,46.4,6.1,147.3,12.6,0.39,12.196944444444444,0,7,0,2,27
35.1,23.0,28.9,35.4,23.0,29.0,16.7,50.2,0.0,0.0,0.0,24.1,9.4,92.5,1012.5,30.6,5.7,143.8,12.4,0.42,12.213333333333333,0,6,0,2,27
36.8,23.4,29.8,35.4,23.4,29.5,14.6,42.0,0.0,0.0,0.0,23.0,12.6,128.9,1011.7,23.9,6.1,148.6,12.9,0.45,12.229722222222222,0,7,0,2,27
36.9,23.0,29.8,35.1,23.0,29.4,14.4,44.0,0.0,0.0,0.0,22.7,9.4,320.1,1011.0,16.8,6.4,171.1,14.7,0.48,12.24638888888889,0,7,0,0,3
37.8,23.0,30.3,35.5,23.0,30.0,15.0,44.5,0.0,0.0,0.0,25.9,9.4,103.3,1010.0,8.6,6.5,169.1,14.6,0.5,12.2625,0,7,0,0,3
37.6,25.0,30.0,37.0,25.0,29.7,14.4,41.4,0.0,0.0,0.0,41.4,18.0,248.0,1008.8,24.4,6.3,262.7,22.5,0.55,12.279166666666667,0,2,0,2,27
38.8,21.0,29.3,36.3,21.0,28.2,7.7,29.1,0.0,0.0,0.0,35.6,16.7,298.6,1007.6,7.9,6.5,191.8,16.8,0.59,12.295277777777779,0,8,0,0,3
38.3,20.0,28.8,36.8,20.0,28.0,10.1,33.1,0.0,0.0,0.0,38.2,14.4,303.5,1007.4,8.2,6.4,193.4,16.7,0.62,12.311666666666667,0,8,0,0,3
37.3,22.0,29.3,35.7,22.0,28.5,10.9,34.5,0.0,0.0,0.0,36.7,14.9,306.3,1008.1,2.3,6.3,188.5,16.3,0.66,12.327777777777778,0,8,0,0,3
39.2,24.3,31.1,37.6,24.3,30.1,10.5,29.7,0.0,0.0,0.0,19.4,11.2,281.9,1008.5,16.2,6.0,177.7,15.4,0.69,12.344166666666666,0,8,0,0,3
36.0,24.0,29.6,36.2,24.0,30.0,17.1,49.6,0.0,0.0,0.0,18.7,9.5,92.2,1010.4,13.0,5.7,160.2,13.8,0.75,12.360277777777778,0,7,0,0,3
34.0,24.0,29.2,38.6,24.0,31.7,22.2,67.5,0.0,0.0,0.0,31.0,14.0,105.5,1011.8,28.3,5.4,160.2,14.0,0.76,12.376666666666667,0,7,0,2,27
36.0,24.0,30.0,38.0,24.0,31.6,20.8,62.5,0.0,0.0,0.0,25.6,11.2,120.3,1012.1,17.5,5.7,169.0,14.6,0.8,12.392777777777777,0,7,0,0,3
37.3,22.0,29.6,37.0,22.0,30.0,18.4,55.3,0.0,0.0,0.0,28.4,9.4,157.5,1012.8,30.7,5.7,152.1,13.1,0.83,12.408888888888889,0,7,0,2,27
36.0,23.0,29.2,34.6,23.0,29.1,15.9,47.3,0.0,0.0,0.0,34.9,9.6,197.1,1010.9,46.6,6.4,114.9,10.0,0.87,12.424722222222222,0,7,0,2,27
35.2,24.0,29.5,36.9,24.0,30.3,18.4,52.8,0.0,0.0,0.0,25.6,12.2,123.4,1010.7,49.9,5.6,134.1,11.6,0.9,12.440555555555555,0,6,0,2,27
35.0,24.0,29.2,35.2,24.0,30.0,18.5,54.1,0.0,0.0,0.0,31.0,12.6,106.0,1012.7,30.9,5.8,159.2,13.7,0.94,12.456666666666667,0,7,0,2,27
33.4,23.0,27.8,34.4,23.0,28.5,19.4,62.2,0.0,0.0,0.0,28.1,16.2,90.9,1014.4,28.1,6.2,179.2,15.5,0.97,12.472222222222221,0,8,0,2,27
33.1,24.0,27.3,34.3,24.0,27.9,19.8,65.2,13.0,100.0,4.17,26.6,13.0,114.7,1014.7,46.6,6.3,143.3,12.4,0.0,12.488055555555556,1,7,0,4,20
34.1,22.0,28.4,35.1,22.0,29.3,19.5,61.0,0.0,0.0,0.0,28.8,19.2,101.3,1013.9,60.9,6.1,205.3,17.8,0.04,12.50361111111111,0,9,0,2,27
33.0,20.1,26.2,33.6,20.1,26.4,18.8,67.4,6.0,100.0,8.33,26.6,16.6,80.9,1013.7,62.5,5.9,185.5,16.0,0.07,12.519444444444444,1,10,0,4,24
33.8,20.0,26.8,34.8,20.0,27.1,18.5,63.0,2.9,100.0,8.33,23.0,14.8,130.5,1012.8,46.9,6.5,234.1,20.2,0.11,12.535,1,10,0,4,24
34.9,21.0,29.3,34.3,21.0,29.7,17.8,53.6,0.0,0.0,0.0,25.6,14.2,356.2,1011.9,23.8,6.5,254.3,21.9,0.14,12.550277777777778,0,10,0,2,27
35.2,26.0,30.5,36.1,26.0,31.8,19.5,54.0,0.0,0.0,0.0,25.6,10.8,133.0,1013.1,34.5,6.3,236.8,20.2,0.17,12.565833333333334,0,9,0,2,27
36.9,26.0,30.1,38.6,26.0,31.2,18.7,51.9,0.0,0.0,0.0,18.4,11.2,192.0,1013.5,38.2,6.3,188.8,16.2,0.2,12.581111111111111,0,9,0,2,27
36.0,25.0,30.6,37.7,25.0,31.6,18.5,49.9,0.0,0.0,0.0,26.6,14.6,251.3,1011.1,44.7,6.3,188.9,16.5,0.24,12.596388888888889,0,9,0,2,27
35.1,25.3,28.9,37.8,25.3,29.8,18.5,54.3,5.0,100.0,4.17,23.8,16.2,148.7,1010.6,47.6,5.5,208.3,18.0,0.25,12.61138888888889,1,9,0,4,22
36.5,24.0,30.5,38.4,24.0,32.1,19.8,55.4,0.0,0.0,0.0,29.9,14.2,187.8,1011.4,50.4,6.1,213.9,18.6,0.3,12.626388888888888,0,9,0,2,27
35.3,25.0,29.4,36.9,25.0,30.9,20.3,59.9,0.0,0.0,0.0,27.7,12.8,97.1,1012.3,57.6,5.7,208.5,18.0,0.34,12.641388888888889,0,9,0,2,27
34.4,24.0,29.0,37.4,24.0,30.0,19.1,56.5,1.0,100.0,4.17,25.6,11.5,190.9,1012.4,63.9,5.7,217.3,18.8,0.37,12.65611111111111,1,9,0,4,22
35.5,23.3,29.7,35.8,23.3,30.3,18.3,52.8,3.0,100.0,4.17,24.5,11.2,176.7,1011.5,50.7,6.2,209.9,18.2,0.4,12.670833333333333,1,9,0,4,21
35.6,23.0,30.1,37.9,23.0,31.0,18.3,51.6,0.0,0.0,0.0,25.6,11.2,153.6,1011.3,40.3,6.8,215.9,18.7,0.44,12.685555555555556,0,9,0,2,27
37.4,25.0,30.8,36.9,25.0,30.5,15.2,41.1,0.0,0.0,0.0,23.8,9.2,162.9,1010.8,43.5,6.8,231.5,20.0,0.47,12.7,0,9,0,2,27
37.2,26.0,31.3,36.6,26.0,31.0,14.6,37.6,0.0,0.0,0.0,21.6,22.3,350.4,1011.5,60.1,6.2,189.6,16.3,0.5,12.714444444444444,0,9,0,2,27
36.6,25.0,31.3,36.2,25.0,31.0,14.6,37.4,0.0,0.0,0.0,23.4,10.8,126.7,1012.0,59.5,6.9,198.1,17.2,0.54,12.72861111111111,0,9,0,2,27
37.1,25.0,31.0,37.6,25.0,31.1,16.0,42.4,0.0,0.0,0.0,23.0,10.6,184.6,1011.2,49.6,6.9,202.7,17.5,0.57,12.742777777777778,0,9,0,2,27
37.2,24.0,30.3,37.5,24.0,30.8,17.1,47.3,0.0,0.0,0.0,26.6,14.8,172.8,1011.0,35.5,6.8,226.9,19.5,0.61,12.756666666666666,0,9,0,2,27
35.1,24.0,30.1,36.0,24.0,31.5,19.7,55.2,0.0,0.0,0.0,28.4,9.4,128.5,1010.1,37.5,6.3,245.7,21.3,0.64,12.770555555555555,0,2,0,2,27
34.4,24.2,30.0,35.2,24.2,30.8,18.2,50.2,0.0,0.0,0.0,27.7,11.0,124.8,1010.8,33.5,7.2,232.1,20.0,0.67,12.784444444444444,0,9,0,2,27
35.5,22.2,27.7,37.5,22.2,28.6,20.7,68.5,4.0,100.0,4.17,28.4,14.8,120.2,1011.3,54.7,6.2,171.6,14.9,0.71,12.797777777777778,1,9,0,4,20
33.0,24.3,28.1,36.5,24.3,29.8,21.4,68.5,2.0,100.0,4.17,24.8,14.0,125.2,1010.6,51.5,6.1,215.8,18.8,0.75,12.811111111111112,1,9,0,4,20
35.9,23.2,28.4,38.6,23.2,29.6,21.2,68.0,0.9,100.0,4.17,24.8,9.2,150.6,1010.5,51.6,6.4,205.6,17.8,0.78,12.824166666666667,1,9,0,4,0
36.8,24.0,29.9,38.7,24.0,31.7,20.7,61.0,0.0,0.0,0.0,28.1,11.2,137.5,1011.5,48.4,6.4,240.3,20.8,0.81,12.837222222222222,0,10,0,2,27
35.3,24.0,30.1,37.2,24.0,32.1,21.0,60.7,0.0,0.0,0.0,32.8,11.2,124.8,1012.0,46.5,6.0,249.4,21.5,0.85,12.850277777777778,0,10,0,2,27
35.4,26.0,30.4,38.9,26.0,33.2,21.4,59.9,0.0,0.0,0.0,25.9,11.2,127.2,1011.1,49.2,6.9,239.4,20.5,0.88,12.863055555555556,0,10,0,2,27
36.9,26.0,31.6,39.2,26.0,33.9,20.8,55.8,0.0,0.0,0.0,26.6,12.2,148.1,1009.9,36.1,6.8,275.5,23.9,0.91,12.875555555555556,0,10,0,2,27
36.5,26.0,31.2,40.7,26.0,34.6,22.3,61.6,0.0,0.0,0.0,23.0,12.2,163.3,1009.1,51.5,6.7,220.0,19.1,0.95,12.887777777777778,0,10,0,2,27
36.7,25.0,31.1,41.7,25.0,34.9,22.7,63.4,0.0,0.0,0.0,32.4,15.1,212.4,1008.4,49.7,6.8,227.9,19.7,0.98,12.9,0,9,0,2,27
38.0,24.0,30.7,40.6,24.0,32.5,20.8,59.3,0.0,0.0,0.0,29.2,13.0,219.2,1007.4,34.5,6.4,257.9,22.3,0.0,12.911944444444444,0,10,0,2,27
37.0,23.0,30.1,39.4,23.0,31.8,21.1,62.9,7.0,100.0,4.17,35.6,19.6,215.0,1007.0,58.0,6.1,225.3,19.4,0.05,12.92388888888889,1,9,0,4,21
35.9,25.8,29.5,41.9,25.8,33.1,23.7,73.0,1.1,100.0,8.33,31.0,13.0,163.9,1006.9,75.3,5.9,207.9,17.8,0.08,12.935,1,9,0,4,26
32.9,24.0,28.6,36.8,24.0,31.3,22.7,71.8,0.1,100.0,4.17,50.0,20.3,127.6,1006.0,67.9,5.8,229.7,19.8,0.12,12.946388888888889,1,2,0,4,22
31.3,25.2,27.2,35.6,25.2,29.1,23.3,79.4,1.7,100.0,20.83,58.7,16.7,121.1,1007.2,82.2,6.1,143.9,12.4,0.15,12.9575,1,7,0,4,26
35.9,24.0,29.8,39.9,24.0,32.5,22.7,68.7,0.1,100.0,4.17,43.9,14.2,152.8,1008.4,49.4,5.8,258.7,22.4,0.19,12.968333333333334,1,10,0,4,23
35.0,24.0,29.6,38.9,24.0,32.6,22.8,69.2,5.1,100.0,8.33,41.4,11.0,169.6,1008.7,64.2,5.5,199.4,17.5,0.22,12.97888888888889,1,2,0,4,23
36.1,24.8,30.5,44.8,24.8,34.4,22.7,64.7,0.0,0.0,0.0,40.7,11.0,204.1,1008.3,52.2,5.7,211.7,18.4,0.25,12.989722222222222,0,9,0,2,27
